Date,ticker,log_return,daily_pct_return,sector
2021-02-24,AAPL,-0.004060452670764348,-0.4052220179135425,Technology
2021-02-25,AAPL,-0.03540198897769487,-3.4782668468454347,Technology
2021-02-26,AAPL,0.0022292223224343968,0.22317088858734296,Technology
2021-03-01,AAPL,0.052451231055401684,5.385116561616109,Technology
2021-03-02,AAPL,-0.021114973725705366,-2.089361341129936,Technology
2021-03-03,AAPL,-0.02476058473226229,-2.4456555933499606,Technology
2021-03-04,AAPL,-0.015938391458595637,-1.581204742824882,Technology
2021-03-05,AAPL,0.010681381600351966,1.0738631210208907,Technology
2021-03-08,AAPL,-0.04256687068157096,-4.167362055992974,Technology
2021-03-09,AAPL,0.03984526534722678,4.064973715796706,Technology
2021-03-10,AAPL,-0.009209103988451199,-0.9166830058182418,Technology
2021-03-11,AAPL,0.016368072710472754,1.650276348526436,Technology
2021-03-12,AAPL,-0.007654538128880128,-0.7625316758130829,Technology
2021-03-15,AAPL,0.024162460778580353,2.4456738411195995,Technology
2021-03-16,AAPL,0.012662428949412292,1.2742936952950368,Technology
2021-03-17,AAPL,-0.006471450396145449,-0.6450555658413681,Technology
2021-03-18,AAPL,-0.03449315296993937,-3.3905045454959315,Technology
2021-03-19,AAPL,-0.0044904533877481445,-0.44803863760536355,Technology
2021-03-22,AAPL,0.027941726427236493,2.8335757876763124,Technology
2021-03-23,AAPL,-0.006912370917487414,-0.6888535433160814,Technology
2021-03-24,AAPL,-0.020196257667975347,-1.9993679323063724,Technology
2021-03-25,AAPL,0.004154980209058495,0.41636241069225033,Technology
2021-03-26,AAPL,0.005128061036447762,0.5141232045733357,Technology
2021-03-29,AAPL,0.0014839608093058679,0.14850624239979293,Technology
2021-03-30,AAPL,-0.012350331571017977,-1.227437922648256,Technology
2021-03-31,AAPL,0.018591671917859015,1.8765573082918379,Technology
2021-04-01,AAPL,0.006934493150839864,0.6958592421673293,Technology
2021-04-05,AAPL,0.023303694177839528,2.3577346830448325,Technology
2021-04-06,AAPL,0.00245926379998142,0.24622902696542776,Technology
2021-04-07,AAPL,0.01330143631275937,1.3390293957759483,Technology
2021-04-08,AAPL,0.019051186671081397,1.9233818468417097,Technology
2021-04-09,AAPL,0.02004940592220937,2.025174525994733,Technology
2021-04-12,AAPL,-0.013321726165997801,-1.3233384694050778,Technology
2021-04-13,AAPL,0.02401593010303687,2.4306635070892035,Technology
2021-04-14,AAPL,-0.0180140643614786,-1.7852781012350216,Technology
2021-04-15,AAPL,0.018534736386165276,1.8707570774555426,Technology
2021-04-16,AAPL,-0.002531104690410014,-0.2527904145807059,Technology
2021-04-19,AAPL,0.005055702877549833,0.5068504507997229,Technology
2021-04-20,AAPL,-0.012912688995956894,-1.2829677910323745,Technology
2021-04-21,AAPL,0.0029253425600928645,0.2929625550025739,Technology
2021-04-22,AAPL,-0.011754019082455778,-1.1685210456653272,Technology
2021-04-23,AAPL,0.017877548227824756,1.8038308162050094,Technology
2021-04-26,AAPL,0.002973455513510402,0.2977880617218487,Technology
2021-04-27,AAPL,-0.0024521240858648282,-0.24491200854941386,Technology
2021-04-28,AAPL,-0.006045618054852374,-0.6027380077809785,Technology
2021-04-29,AAPL,-0.000748874538097509,-0.07485942015439395,Technology
2021-04-30,AAPL,-0.015249007727859067,-1.5133330344381244,Technology
2021-05-03,AAPL,0.008181707322088044,0.8215268957492585,Technology
2021-05-04,AAPL,-0.03602672261036931,-3.5385483879165522,Technology
2021-05-05,AAPL,0.0019535751770627077,0.19554846482783272,Technology
2021-05-06,AAPL,0.012721224516580238,1.2802483498843165,Technology
2021-05-07,AAPL,0.005313193595510588,0.5327333640442243,Technology
2021-05-10,AAPL,-0.026143298279874577,-2.580452093039909,Technology
2021-05-11,AAPL,-0.0074378845990097624,-0.7410291987955842,Technology
2021-05-12,AAPL,-0.025254714731320828,-2.4938482137694558,Technology
2021-05-13,AAPL,0.01776084288720235,1.7919504587170065,Technology
2021-05-14,AAPL,0.019650709421063624,1.9845055537096363,Technology
2021-05-17,AAPL,-0.009301790572142327,-0.9258662743817481,Technology
2021-05-18,AAPL,-0.011309444982791638,-1.1245733616135345,Technology
2021-05-19,AAPL,-0.0012823683219379226,-0.1281546439037773,Technology
2021-05-20,AAPL,0.020794361651447695,2.1012070812119754,Technology
2021-05-21,AAPL,-0.014877090459883188,-1.4766973300249897,Technology
2021-05-24,AAPL,0.013226142745048757,1.3313995059488273,Technology
2021-05-25,AAPL,-0.0015746755770878185,-0.15734364260069356,Technology
2021-05-26,AAPL,-0.0003940874605890614,-0.03940098183253804,Technology
2021-05-27,AAPL,-0.012454164980313735,-1.2376932820799436,Technology
2021-05-28,AAPL,-0.005362255905828005,-0.5347904674744554,Technology
2021-06-01,AAPL,-0.0026516791424566638,-0.2648166546764252,Technology
2021-06-02,AAPL,0.006256305160239233,0.6275916714659546,Technology
2021-06-03,AAPL,-0.012228494282498035,-1.2154030083688094,Technology
2021-06-04,AAPL,0.018843461849052695,1.902212029311423,Technology
2021-06-07,AAPL,7.950556487246166e-05,0.007950872552364706,Technology
2021-06-08,AAPL,0.0066497082226819665,0.6671866620803657,Technology
2021-06-09,AAPL,0.0030724810381784163,0.3077205945867245,Technology
2021-06-10,AAPL,-0.008055581113236931,-0.8023221868838637,Technology
2021-06-11,AAPL,0.009784678271835386,0.9832704749681564,Technology
2021-06-14,AAPL,0.024280597861691167,2.4577771891175493,Technology
2021-06-15,AAPL,-0.006458488395339316,-0.643767718624999,Technology
2021-06-16,AAPL,0.003926133010417728,0.39338503671098035,Technology
2021-06-17,AAPL,0.01252218538276924,1.260091623035864,Technology
2021-06-18,AAPL,-0.0101429057019937,-1.0091639908395678,Technology
2021-06-21,AAPL,0.014005171262292317,1.410370312117326,Technology
2021-06-22,AAPL,0.012618637017498349,1.2698587954280252,Technology
2021-06-23,AAPL,-0.0020922549763942207,-0.20900677366381126,Technology
2021-06-24,AAPL,-0.002171314222471473,-0.21689586249676873,Technology
2021-06-25,AAPL,-0.002251114874117616,-0.22485830152207953,Technology
2021-06-28,AAPL,0.012467949942067378,1.2545998862659058,Technology
2021-06-29,AAPL,0.011434447604141905,1.1500070783233782,Technology
2021-06-30,AAPL,0.004610687124909421,0.4621332697638092,Technology
2021-07-01,AAPL,0.002260824179348866,0.2263381769391115,Technology
2021-07-02,AAPL,0.019406639884589533,1.9596172800698581,Technology
2021-07-06,AAPL,0.014611359957195556,1.4718627682793308,Technology
2021-07-07,AAPL,0.017796090093576442,1.7955384038341964,Technology
2021-07-08,AAPL,-0.009242441392146581,-0.9199861312972346,Technology
2021-07-09,AAPL,0.012970513375441918,1.305499534709442,Technology
2021-07-12,AAPL,-0.004212728565340306,-0.4203867471851974,Technology
2021-07-13,AAPL,0.007858658838221608,0.788961914661579,Technology
2021-07-14,AAPL,0.02381478112887614,2.4100617562821336,Technology
2021-07-15,AAPL,-0.004502353652582957,-0.4492233252613387,Technology
2021-07-16,AAPL,-0.014176080610400401,-1.4076073108871268,Technology
2021-07-19,AAPL,-0.027283302025446935,-2.691447462956209,Technology
2021-07-20,AAPL,0.025642248556132733,2.59738391880795,Technology
2021-07-21,AAPL,-0.005144589418241372,-0.5131378682413201,Technology
2021-07-22,AAPL,0.009582521332734741,0.9628580694327926,Technology
2021-07-23,AAPL,0.011917616877065341,1.1988914624647682,Technology
2021-07-26,AAPL,0.002890873000126173,0.28950556029643254,Technology
2021-07-27,AAPL,-0.015012955049914753,-1.490082248861957,Technology
2021-07-28,AAPL,-0.012270939799332876,-1.219595882658453,Technology
2021-07-29,AAPL,0.004542179660984589,0.4552510995357252,Technology
2021-07-30,AAPL,0.0015093437082005759,0.1510483340708913,Technology
2021-08-02,AAPL,-0.0023336516968997445,-0.23309308486940683,Technology
2021-08-03,AAPL,0.012565041564525405,1.2644313369182258,Technology
2021-08-04,AAPL,-0.002786234733938174,-0.2782356784403861,Technology
2021-08-05,AAPL,0.000748229055118691,0.07485090483068113,Technology
2021-08-06,AAPL,-0.004778471525634092,-0.4767072793972593,Technology
2021-08-09,AAPL,-0.00034221763558497535,-0.03421590858090351,Technology
2021-08-10,AAPL,-0.003359666185202144,-0.3354028821751065,Technology
2021-08-11,AAPL,0.0017840833655121619,0.17856757891043798,Technology
2021-08-12,AAPL,0.02056061929653151,2.0773444935863865,Technology
2021-08-13,AAPL,0.0014094895932126833,0.14104833905301817,Technology
2021-08-16,AAPL,0.013456926460263223,1.354787841514371,Technology
2021-08-17,AAPL,-0.006173222224674479,-0.615420703680436,Technology
2021-08-18,AAPL,-0.025831730179291645,-2.5500945405619864,Technology
2021-08-19,AAPL,0.002320426137335588,0.23231204096152425,Technology
2021-08-20,AAPL,0.010105587203902327,1.0156821087661472,Technology
2021-08-23,AAPL,0.010204988604967866,1.025723708163606,Technology
2021-08-24,AAPL,-0.000601630995276905,-0.06014500516385857,Technology
2021-08-25,AAPL,-0.008456957099722412,-0.8421297632361324,Technology
2021-08-26,AAPL,-0.005542266844040972,-0.5526936817264126,Technology
2021-08-27,AAPL,0.007158894679393843,0.718458082412643,Technology
2021-08-30,AAPL,0.02996351367392615,3.041693713927574,Technology
2021-08-31,AAPL,-0.008460306845592689,-0.8424619163461489,Technology
2021-09-01,AAPL,0.004468542174797429,0.4478540997220337,Technology
2021-09-02,AAPL,0.007447219511208639,0.7475019017258554,Technology
2021-09-03,AAPL,0.004221430481139691,0.4230353270019416,Technology
2021-09-07,AAPL,0.015370668658780255,1.548940495836648,Technology
2021-09-08,AAPL,-0.010134699720299869,-1.0083516705184814,Technology
2021-09-09,AAPL,-0.006727554096630305,-0.6704974767495986,Technology
2021-09-10,AAPL,-0.033662246295680945,-3.3101977118043524,Technology
2021-09-13,AAPL,0.003885854589050905,0.38934143108160235,Technology
2021-09-14,AAPL,-0.009607979230882625,-0.9561970068029502,Technology
