Date,AAPL,AMZN,CAT,JNJ,JPM,MSFT,NEE,NVDA,PG,XOM,^GSPC
2021-02-23,122.58708953857422,159.72500610351562,200.80624389648438,139.32330322265625,132.63116455078125,223.8364715576172,65.29772186279297,14.101577758789062,112.40533447265625,45.454036712646484,3881.3701171875
2021-02-24,122.09033966064453,157.97650146484375,202.89476013183594,141.1903076171875,134.96485900878906,225.064697265625,64.46742248535156,14.457557678222656,112.52874755859375,46.81640625,3925.429931640625
2021-02-25,117.84371185302734,152.85800170898438,202.30197143554688,141.33792114257812,133.13314819335938,219.7295684814453,65.06925201416016,13.269462585449219,111.57677459716797,46.04026794433594,3829.340087890625
2021-02-26,118.10670471191406,154.64649963378906,196.8846435546875,137.6038818359375,129.60183715820312,222.9824676513672,64.55967712402344,13.675301551818848,108.88825988769531,44.89257049560547,3811.14990234375
2021-03-01,124.46688842773438,157.3070068359375,200.42320251464844,138.35069274902344,132.5343475341797,227.35806274414062,66.69468688964844,13.802186965942383,109.55818176269531,46.56870651245117,3901.820068359375
2021-03-02,121.86632537841797,154.72650146484375,196.82986450195312,138.09019470214844,132.102783203125,224.41220092773438,66.36959075927734,13.367931365966797,109.21441650390625,46.29623031616211,3870.2900390625
2021-03-03,118.88589477539062,150.25,195.99996948242188,135.65870666503906,134.6566162109375,218.35739135742188,63.716217041015625,12.76815128326416,108.56214141845703,46.66779327392578,3819.719970703125
2021-03-04,117.00606536865234,148.8784942626953,194.04824829101562,132.92330932617188,132.58712768554688,217.5609588623047,62.635528564453125,12.334891319274902,107.6718521118164,48.47604751586914,3768.469970703125
2021-03-05,118.2625503540039,150.0229949951172,200.78799438476562,135.5545196533203,132.89537048339844,222.23402404785156,62.11716079711914,12.425881385803223,111.04788208007812,50.309078216552734,3841.93994140625
2021-03-08,113.33412170410156,147.59750366210938,202.08309936523438,136.68338012695312,134.6566162109375,218.1942596435547,62.25774002075195,11.560114860534668,112.2202377319336,50.259525299072266,3821.35009765625
2021-03-09,117.94112396240234,153.1425018310547,197.7236785888672,136.94393920898438,133.70555114746094,224.32583618164062,65.03411102294922,12.488771438598633,111.22416687011719,49.48339080810547,3875.43994140625
2021-03-10,116.85997772216797,152.8820037841797,201.6088104248047,138.20306396484375,136.61160278320312,223.02084350585938,65.42072296142578,12.43690299987793,112.24666595458984,51.002655029296875,3898.81005859375
2021-03-11,118.78849029541016,155.67950439453125,200.42320251464844,138.19439697265625,135.8983154296875,227.54037475585938,65.77214050292969,12.960835456848145,111.8676528930664,50.622833251953125,3939.340087890625
2021-03-12,117.8826904296875,154.47450256347656,208.85015869140625,138.59381103515625,137.50985717773438,226.21615600585938,66.48381042480469,12.823678970336914,112.95185089111328,51.16779327392578,3943.340087890625
2021-03-15,120.76571655273438,154.08399963378906,210.43710327148438,139.30593872070312,136.82296752929688,225.31419372558594,66.3520278930664,13.158085823059082,113.32206726074219,49.863197326660156,3968.93994140625
2021-03-16,122.30462646484375,154.59300231933594,206.53367614746094,140.130859375,135.18496704101562,228.09693908691406,66.22901153564453,13.257834434509277,113.65704345703125,48.80632781982422,3962.7099609375
2021-03-17,121.51569366455078,156.7864990234375,213.07276916503906,139.60983276367188,136.5763702392578,227.45399475097656,64.10279846191406,13.307708740234375,113.19865417480469,49.0210075378418,3974.1201171875
