Date,portfolio_log_return,portfolio_daily_pct_return
2021-02-24,0.0075965422347569755,0.7625469163538373
2021-02-25,-0.022214259291166685,-2.1969339555687655
2021-02-26,-0.00695035205949185,-0.6926254224416842
2021-03-01,0.02245783719994343,2.2711912857497505
2021-03-02,-0.012353078092368974,-1.2277092032263548
2021-03-03,-0.01702549585838632,-1.6881381137709168
2021-03-04,-0.009514841252891803,-0.946971837659511
2021-03-05,0.016423318620487053,1.6558922656733133
2021-03-08,-0.012409459495815258,-1.2332779666142584
2021-03-09,0.018172498484421786,1.8338623109076266
2021-03-10,0.006746905193293146,0.6769716831933714
2021-03-11,0.00862745274453497,0.866477647398772
2021-03-12,0.004514128383957785,0.4524332409807851
2021-03-15,0.00298735151437713,0.29918180955542334
2021-03-16,-0.00024671738588274533,-0.024668695365126857
2021-03-17,0.0015906463909061434,0.15919121399073194
2021-03-18,-0.021564289402040592,-2.133344244115503
2021-03-19,-0.0036046983456496,-0.3598209220023129
2021-03-22,0.009321525582950855,0.9365106310249209
2021-03-23,-0.0013236273966915923,-0.13227517883179757
2021-03-24,-0.00480075007700774,-0.4789244894888038
2021-03-25,0.0002580036890394271,0.02580369748537655
2021-03-26,0.015532400728608217,1.5653655443646213
2021-03-29,0.0022071869576861217,0.22096245879245158
2021-03-30,-0.0060874490086874015,-0.6068958030958249
2021-03-31,0.00674565102970155,0.676845417880153
2021-04-01,0.012221405667651255,1.2296392214865792
2021-04-05,0.011611068121539319,1.1678738226786742
2021-04-06,-0.0026464588845491284,-0.2642960099379586
2021-04-07,0.008348242457660433,0.8383186205667333
2021-04-08,0.005120958626469966,0.5134093145969508
2021-04-09,0.005551753752196525,0.5567193296017118
2021-04-12,0.0035980582784247497,0.36045390605249916
2021-04-13,0.005186888236704485,0.5200363429527025
2021-04-14,-0.00519304088472896,-0.517958035834815
2021-04-15,0.01334226997857219,1.343167524322995
2021-04-16,0.0018755248983081682,0.18772847952017535
2021-04-19,-0.007056346510070375,-0.703150895217722
2021-04-20,-0.006574944055718266,-0.655337640563565
2021-04-21,0.004384622417794196,0.43942489390788764
2021-04-22,-0.014180767619929237,-1.4080694132881912
2021-04-23,0.010684620199222034,1.074190459249846
2021-04-26,0.0015765195423013056,0.15777629025429912
2021-04-27,-0.00010397242572128182,-0.010396702077595
2021-04-28,-6.5711506659215e-05,-0.006570934770545092
2021-04-29,0.003329395789476645,0.3334944383751411
2021-04-30,-0.007728007552417246,-0.7698223275808732
2021-05-03,0.0014953386254042854,0.14964572016872213
2021-05-04,-0.007619856262514424,-0.7590898755145087
2021-05-05,0.0018678152309630136,0.1869560684390516
2021-05-06,0.009045429874939528,0.9086463404405789
2021-05-07,0.007723097825743063,0.7752997869846184
2021-05-10,-0.008725522643371364,-0.8687565748812249
2021-05-11,-0.008223245696371688,-0.8189527299668401
2021-05-12,-0.017813388429513206,-1.7655667926588046
2021-05-13,0.009782918599387866,0.9830927776457857
2021-05-14,0.01660238017767173,1.6740965578352134
2021-05-17,0.0005846425880146886,0.05848135248032346
2021-05-18,-0.011349680372885916,-1.1285515729420892
2021-05-19,-0.0033183097057444336,-0.3312810200794772
2021-05-20,0.010590160284960376,1.0646434507968974
2021-05-21,0.0009767617173903013,0.09772389044699575
2021-05-24,0.011957697133553494,1.2029476212763006
2021-05-25,-0.0038053155866528037,-0.37980845483312353
2021-05-26,0.0010279330159059406,0.10284615201219996
2021-05-27,-0.00547499351434002,-0.5460033052611643
2021-05-28,0.004033000967293662,0.4041144459585235
2021-06-01,-0.0005304422939191873,-0.05303016342773052
2021-06-02,0.006791233257820624,0.6814345974060187
2021-06-03,-0.000844047468434306,-0.08436913605675153
2021-06-04,0.009500850413252477,0.9546126766896914
2021-06-07,-0.0015156794684881764,-0.15145314064671772
2021-06-08,0.0005396890550462214,0.05398347133865152
2021-06-09,-3.601767833811599e-05,-0.003601702970932694
2021-06-10,0.0010215868719436754,0.10221088695523067
2021-06-11,-0.0012788192915386628,-0.12780019505960385
2021-06-14,0.0035420822586986448,0.35483628453244637
2021-06-15,-0.0011351151435048663,-0.11344711440046021
2021-06-16,-0.0009610836058561918,-0.09606219129278157
2021-06-17,0.0030736817516754033,0.3078410354930019
2021-06-18,-0.012190128134885556,-1.2116129512343083
2021-06-21,0.011146830433933528,1.1209187828680904
2021-06-22,0.008146753498484614,0.8180028594723461
2021-06-23,0.0005491690296702408,0.05493198505892777
2021-06-24,0.003206943085986153,0.3212090829333587
2021-06-25,-0.0004995265967175126,-0.04994018540787183
2021-06-28,0.008406732494025064,0.8442168299813585
2021-06-29,-9.239502296628957e-05,-0.009239075467761234
2021-06-30,0.00258512019953115,0.25884645039428655
2021-07-01,0.0042342787219628135,0.4243255946328287
2021-07-02,0.011105842159365425,1.1167740958268049
2021-07-06,0.0013805163594372838,0.13814697108018645
2021-07-07,0.0028581005343917484,0.286218879768542
2021-07-08,-0.007278559527356478,-0.7252134962749385
2021-07-09,0.009646057809647512,0.9692730975255526
2021-07-12,0.003306523441627958,0.3311996020337199
2021-07-13,-0.003747001941714079,-0.37399906897304497
2021-07-14,-0.00026074759032496965,-0.026071359862652153
2021-07-15,-0.00718943100868235,-0.716364887286323
2021-07-16,-0.012510775906525771,-1.2432841494844982
2021-07-19,-0.012396137138698022,-1.2319621523071764
2021-07-20,0.009560588191622444,0.9606436611042088
2021-07-21,0.010196302349744037,1.0248461767545411
2021-07-22,0.002681203339382655,0.2684800979672724
2021-07-23,0.006548567454174144,0.6570056203257151
2021-07-26,0.00376852429115931,0.37756341071918315
2021-07-27,-0.0052266944622565165,-0.5213059061124338
2021-07-28,-0.00011333658546532483,-0.011333016311715367
2021-07-29,0.003958005385903564,0.39658486336793203
2021-07-30,-0.013312946627787781,-1.3224721300817084
2021-08-02,0.0007457459564644445,0.07460240941159486
2021-08-03,0.010638873305691002,1.0695667347814932
