Date,ticker,close,asset_name,sector
2021-02-23,AAPL,122.58708953857422,Apple Inc.,Technology
2021-02-24,AAPL,122.09033966064453,Apple Inc.,Technology
2021-02-25,AAPL,117.84371185302734,Apple Inc.,Technology
2021-02-26,AAPL,118.10670471191406,Apple Inc.,Technology
2021-03-01,AAPL,124.46688842773438,Apple Inc.,Technology
2021-03-02,AAPL,121.86632537841797,Apple Inc.,Technology
2021-03-03,AAPL,118.88589477539062,Apple Inc.,Technology
2021-03-04,AAPL,117.00606536865234,Apple Inc.,Technology
2021-03-05,AAPL,118.2625503540039,Apple Inc.,Technology
2021-03-08,AAPL,113.33412170410156,Apple Inc.,Technology
2021-03-09,AAPL,117.94112396240234,Apple Inc.,Technology
2021-03-10,AAPL,116.85997772216797,Apple Inc.,Technology
2021-03-11,AAPL,118.78849029541016,Apple Inc.,Technology
2021-03-12,AAPL,117.8826904296875,Apple Inc.,Technology
2021-03-15,AAPL,120.76571655273438,Apple Inc.,Technology
2021-03-16,AAPL,122.30462646484375,Apple Inc.,Technology
2021-03-17,AAPL,121.51569366455078,Apple Inc.,Technology
2021-03-18,AAPL,117.39569854736328,Apple Inc.,Technology
2021-03-19,AAPL,116.86972045898438,Apple Inc.,Technology
2021-03-22,AAPL,120.18131256103516,Apple Inc.,Technology
2021-03-23,AAPL,119.35343933105469,Apple Inc.,Technology
2021-03-24,AAPL,116.96712493896484,Apple Inc.,Technology
2021-03-25,AAPL,117.45413208007812,Apple Inc.,Technology
2021-03-26,AAPL,118.05799102783203,Apple Inc.,Technology
2021-03-29,AAPL,118.23331451416016,Apple Inc.,Technology
2021-03-30,AAPL,116.78207397460938,Apple Inc.,Technology
2021-03-31,AAPL,118.97355651855469,Apple Inc.,Technology
2021-04-01,AAPL,119.80144500732422,Apple Inc.,Technology
2021-04-05,AAPL,122.62604522705078,Apple Inc.,Technology
2021-04-06,AAPL,122.92798614501953,Apple Inc.,Technology
2021-04-07,AAPL,124.57402801513672,Apple Inc.,Technology
2021-04-08,AAPL,126.97006225585938,Apple Inc.,Technology
2021-04-09,AAPL,129.5414276123047,Apple Inc.,Technology
2021-04-12,AAPL,127.82715606689453,Apple Inc.,Technology
2021-04-13,AAPL,130.9342041015625,Apple Inc.,Technology
2021-04-14,AAPL,128.59666442871094,Apple Inc.,Technology
2021-04-15,AAPL,131.0023956298828,Apple Inc.,Technology
2021-04-16,AAPL,130.67123413085938,Apple Inc.,Technology
2021-04-19,AAPL,131.3335418701172,Apple Inc.,Technology
2021-04-20,AAPL,129.64857482910156,Apple Inc.,Technology
2021-04-21,AAPL,130.0283966064453,Apple Inc.,Technology
2021-04-22,AAPL,128.5089874267578,Apple Inc.,Technology
2021-04-23,AAPL,130.8270721435547,Apple Inc.,Technology
2021-04-26,AAPL,131.21665954589844,Apple Inc.,Technology
2021-04-27,AAPL,130.89529418945312,Apple Inc.,Technology
2021-04-28,AAPL,130.10633850097656,Apple Inc.,Technology
2021-04-29,AAPL,130.00894165039062,Apple Inc.,Technology
2021-04-30,AAPL,128.04147338867188,Apple Inc.,Technology
2021-05-03,AAPL,129.09336853027344,Apple Inc.,Technology
2021-05-04,AAPL,124.52533721923828,Apple Inc.,Technology
2021-05-05,AAPL,124.76884460449219,Apple Inc.,Technology
2021-05-06,AAPL,126.36619567871094,Apple Inc.,Technology
2021-05-07,AAPL,127.03939056396484,Apple Inc.,Technology
2021-05-10,AAPL,123.76119995117188,Apple Inc.,Technology
2021-05-11,AAPL,122.8440933227539,Apple Inc.,Technology
2021-05-12,AAPL,119.78054809570312,Apple Inc.,Technology
2021-05-13,AAPL,121.92695617675781,Apple Inc.,Technology
2021-05-14,AAPL,124.34660339355469,Apple Inc.,Technology
2021-05-17,AAPL,123.19532012939453,Apple Inc.,Technology
2021-05-18,AAPL,121.80989837646484,Apple Inc.,Technology
2021-05-19,AAPL,121.65379333496094,Apple Inc.,Technology
2021-05-20,AAPL,124.20999145507812,Apple Inc.,Technology
2021-05-21,AAPL,122.37578582763672,Apple Inc.,Technology
2021-05-24,AAPL,124.00509643554688,Apple Inc.,Technology
2021-05-25,AAPL,123.80998229980469,Apple Inc.,Technology
2021-05-26,AAPL,123.76119995117188,Apple Inc.,Technology
2021-05-27,AAPL,122.22941589355469,Apple Inc.,Technology
2021-05-28,AAPL,121.57574462890625,Apple Inc.,Technology
2021-06-01,AAPL,121.25379180908203,Apple Inc.,Technology
2021-06-02,AAPL,122.0147705078125,Apple Inc.,Technology
2021-06-03,AAPL,120.53179931640625,Apple Inc.,Technology
2021-06-04,AAPL,122.82456970214844,Apple Inc.,Technology
2021-06-07,AAPL,122.83433532714844,Apple Inc.,Technology
