Date,cumulative_growth,drawdown
2021-02-24,1.0076254691635385,0.0
2021-02-25,0.9854886030865255,-0.021969339555687695
2021-02-26,0.9786628584862829,-0.028743428549199312
2021-03-01,1.0008901640450927,-0.006684333936136988
2021-03-02,0.9886021433869238,-0.0188793617854921
2021-03-03,0.9719131738108528,-0.035442033221263713
2021-03-04,0.9627094297683614,-0.04457612552455947
2021-03-05,0.9786508607568033,-0.028755335482724464
2021-03-08,0.9665813753210089,-0.040733481932132554
2021-03-09,0.9843071468672734,-0.023141854796130068
2021-03-10,0.9909706275272134,-0.016528801768131873
2021-03-11,0.9995571665070241,-0.008007243666847907
2021-03-12,1.0040794953909076,-0.003519138689075163
2021-03-15,1.007083518594593,-0.0005378492163317095
2021-03-16,1.0068350842293186,-0.0007844034895981844
2021-03-17,1.0084378772227878,0.0
2021-03-18,0.9869244258135749,-0.02133344244115498
2021-03-19,0.9833732652451465,-0.024854889471891517
2021-03-22,0.9925826604168241,-0.015722551843876165
2021-03-23,0.9912697199277044,-0.017024506598625644
2021-03-24,0.9865222864820835,-0.021732216962198292
2021-03-25,0.9867768457085132,-0.021479787702866182
2021-03-26,1.0022235104510022,-0.006162369454923433
2021-03-29,1.0044380481622908,-0.003966361390066453
2021-03-30,0.9983421558032962,-0.01001124774021278
2021-03-31,1.005099388939617,-0.0033105542330132964
2021-04-01,1.0174584852409403,0.0
2021-04-05,1.0293411165466921,0.0
2021-04-06,1.0266206090470085,-0.0026429600993794766
2021-04-07,1.0352269607752251,0.0
2021-04-08,1.040541912419064,0.0
2021-04-09,1.0463348103781083,0.0
2021-04-12,1.050106365072503,0.0
2021-04-13,1.0555672998105399,0.0
2021-04-14,1.0500999041575265,-0.005179580358348201
2021-04-15,1.0642045050431173,0.0
2021-04-16,1.06620231997942,0.0
2021-04-19,1.0587053088216525,-0.007031508952177301
2021-04-20,1.0517672144302996,-0.013538805232949591
2021-04-21,1.0563889413964678,-0.009204049174402096
2021-04-22,1.0415142518273053,-0.023155143906075204
2021-04-23,1.0527020985521616,-0.012661969660241357
2021-04-26,1.0543630128706862,-0.011104184343701529
2021-04-27,1.0542533938894219,-0.011206996895512966
2021-04-28,1.054184119586593,-0.011271969838762774
2021-04-29,1.0576997649956483,-0.007974616847518878
2021-04-30,1.0495573560459415,-0.015611449742296335
2021-05-03,1.0511279737099801,-0.014138354407004838
2021-05-04,1.043148967682847,-0.021621930345281926
2021-05-05,1.0450991979807893,-0.019792793171785616
2021-05-06,1.0545954535972155,-0.010886176258206315
2021-05-07,1.0627717299025043,-0.003217578889700645
2021-05-10,1.0535388306229974,-0.011877191710356616
2021-05-11,1.0449108456083496,-0.019969450424269675
2021-05-12,1.0264622467053983,-0.03727254436549032
2021-05-13,1.0365533229180197,-0.02780804028073447
2021-05-14,1.0539062264171168,-0.011532608147523438
2021-05-17,1.0545225650321999,-0.010954539047941192
2021-05-18,1.0426217340374997,-0.022116427154628027
2021-05-19,1.0391677261214098,-0.02535596982993993
2021-05-20,1.0502311572603564,-0.014979485994151442
2021-05-21,1.051257484005918,-0.014016885626163766
2021-05-24,1.063903560903256,-0.002156025205617862
2021-05-25,1.0598627652276749,-0.005945920987929787
2021-05-26,1.0609527932983216,-0.004923574618745596
2021-05-27,1.055159955979652,-0.010356724791201977
2021-05-28,1.0594240097897356,-0.006357433352625952
2021-06-01,1.0588621955059514,-0.006884363629606649
2021-06-02,1.066077648844982,-0.00011693009112978547
2021-06-03,1.0651782083429573,-0.0009605227987896647
2021-06-04,1.0753465345491353,0.0
2021-06-07,1.073717888449725,-0.00151453140646729
2021-06-08,1.0742975186382941,-0.0009755142897084346
2021-06-09,1.0742588256326489,-0.001011496184290528
2021-06-10,1.0753568351065228,0.0
2021-06-11,1.0739825269736698,-0.0012780019505961304
2021-06-14,1.077793406668911,0.0
2021-06-15,1.0765706811498466,-0.0011344711440047783
2021-06-16,1.0755365037627185,-0.0020940032590919255
2021-06-17,1.078847446473007,0.0
2021-06-18,1.0657759910874793,-0.012116129512343088
2021-06-21,1.0777224743548772,-0.0010427536551228522
2021-06-22,1.0865382750122763,0.0
2021-06-23,1.0871351320551657,0.0
2021-06-24,1.0906271088430863,0.0
2021-06-25,1.0900824476428217,-0.000499401854078596
2021-06-28,1.099285107126495,0.0
2021-06-29,1.0991835433458417,-9.239075467770697e-05
2021-06-30,1.1020287409311107,0.0
2021-07-01,1.1067049309390913,0.0
2021-07-02,1.119064324925057,0.0
2021-07-06,1.1206102783943799,0.0
2021-07-07,1.1238176765797714,0.0
2021-07-08,1.1156675991156915,-0.007252134962749346
2021-07-09,1.126481465011729,0.0
2021-07-12,1.1302123671408315,0.0
2021-07-13,1.1259853834103066,-0.0037399906897304103
2021-07-14,1.1256918237089968,-0.003999729221925485
2021-07-15,1.1176277627448925,-0.011134725439056248
2021-07-16,1.103732473920447,-0.0234291306574288
2021-07-19,1.0901349075790234,-0.035460114158186506
2021-07-20,1.1006072194661656,-0.0261943228860253
2021-07-21,1.111886750475949,-0.016214312635103978
2021-07-22,1.114871945112912,-0.01357304385787872
2021-07-23,1.1221967164517386,-0.007092163315617017
2021-07-26,1.1264337206493524,-0.003343306622133446
2021-07-27,1.1205615551351653,-0.008538936828377142
2021-07-28,1.120434561711339,-0.008651299272390833
2021-07-29,1.124878035587029,-0.004719760382110416
2021-07-30,1.11000183706898,-0.017882064167267453
2021-08-02,1.1108299251839464,-0.017149380523872715
2021-08-03,1.122710992543712,-0.006637137245362301
2021-08-04,1.117198167951963,-0.011514826387709287
2021-08-05,1.1257856687826107,-0.003916696089089289
2021-08-06,1.1265739340816994,-0.0032192472538028483
2021-08-09,1.125235635139725,-0.004403360063822692
2021-08-10,1.1270048821828682,-0.002837948912271626
2021-08-11,1.132684312607108,0.0
2021-08-12,1.1397837976612957,0.0
2021-08-13,1.141130721127505,0.0
2021-08-16,1.1420558542856059,0.0
2021-08-17,1.132716711541845,-0.008177483359255389
2021-08-18,1.1173177755752468,-0.021661005998549476
2021-08-19,1.119458837036218,-0.0197862627861779
2021-08-20,1.1333436816151339,-0.007628499637543307
2021-08-23,1.1483952674754843,0.0
2021-08-24,1.1486876669602584,0.0
2021-08-25,1.1521067394714164,0.0
2021-08-26,1.145989274466884,-0.005309807498686259
2021-08-27,1.1544898592317254,0.0
2021-08-30,1.1608794792470862,0.0
2021-08-31,1.1563377315391872,-0.00391233352737419
2021-09-01,1.1572191695273535,-0.003153048860943586
2021-09-02,1.1645155903143598,0.0
2021-09-03,1.1653434297709768,0.0
2021-09-07,1.16226681460071,-0.002640093119048559
2021-09-08,1.159449172906955,-0.005057956919343742
2021-09-09,1.1511590441958075,-0.012171850128298245
2021-09-10,1.143463060122088,-0.018775898237302302
2021-09-13,1.1477550026603511,-0.015092913094367666
2021-09-14,1.141534220546273,-0.02043106659929672
2021-09-15,1.152525682129545,-0.010999116066540804
2021-09-16,1.1484976839217884,-0.014455606320704195
2021-09-17,1.134545784869999,-0.026427956012100684
2021-09-20,1.1088356329765916,-0.04849025218728065
2021-09-21,1.1100999047801379,-0.04740536015352648
2021-09-22,1.1249141721590001,-0.034692998286283916
2021-09-23,1.140896987285825,-0.020977886741899154
2021-09-24,1.1401318240392642,-0.021634485669745795
2021-09-27,1.136739804886882,-0.024545232034917208
2021-09-28,1.118460118830633,-0.040231325584045075
2021-09-29,1.119637858886774,-0.039220687838936286
2021-09-30,1.108273010392467,-0.04897304770468036
2021-10-01,1.1201758383863034,-0.038759038950045954
2021-10-04,1.104712021396896,-0.05202878981863457
2021-10-05,1.1163403712937474,-0.04205031514774993
2021-10-06,1.1232606989564073,-0.0361118703203569
2021-10-07,1.1332928039343184,-0.027503159169960156
2021-10-08,1.1322005007355576,-0.028440482169220127
2021-10-11,1.1221480612607673,-0.03706664267948778
2021-10-12,1.116435473303731,-0.04196870657850427
2021-10-13,1.1190967338819375,-0.0396850359366836
2021-10-14,1.1390149676770944,-0.02259287813469435
2021-10-15,1.1521146886790874,-0.01135179617779225
2021-10-18,1.1546261709649808,-0.009196652705290798
2021-10-19,1.1647052492964154,-0.0005476329623164133
2021-10-20,1.1690841744971598,0.0
2021-10-21,1.169287097523172,0.0
2021-10-22,1.1687552873906382,-0.0004548157023713806
2021-10-25,1.1725793489969476,0.0
2021-10-26,1.189421179289212,0.0
2021-10-27,1.1838979444420166,-0.0046436325024042935
2021-10-28,1.200146147969332,0.0
2021-10-29,1.2000271213768614,-9.917674832526924e-05
2021-11-01,1.200432398894809,0.0
2021-11-02,1.2082090308718696,0.0
2021-11-03,1.2101066634399675,0.0
2021-11-04,1.2264492030982135,0.0
2021-11-05,1.230861179361159,0.0
2021-11-08,1.2378188030049906,0.0
2021-11-09,1.2385885911015757,0.0
2021-11-10,1.2237283021675696,-0.011997760225443188
2021-11-11,1.228062543942684,-0.008498420891742686
2021-11-12,1.2354781947372593,-0.0025112425438620356
2021-11-15,1.2351195202164187,-0.00280082580291785
2021-11-16,1.2360810848105468,-0.0020244868304485353
2021-11-17,1.2329256307440282,-0.004572107637864642
2021-11-18,1.248775751952009,0.0
2021-11-19,1.2493583430917365,0.0
2021-11-22,1.2442698971578334,-0.0040728474436813045
2021-11-23,1.2528959111451279,0.0
2021-11-24,1.2571655406168207,0.0
2021-11-26,1.225689317269316,-0.025037453167910728
2021-11-29,1.2441721248771078,-0.010335485121026888
2021-11-30,1.2262231088629163,-0.0246128538797864
2021-12-01,1.220908982816435,-0.028839923326721695
2021-12-02,1.2315182368067477,-0.020400896287285586
2021-12-03,1.2201657904378302,-0.029431088415640794
2021-12-06,1.233803515172075,-0.018583094023785662
2021-12-07,1.2624350566199367,0.0
2021-12-08,1.2634116779899782,0.0
2021-12-09,1.256767163059554,-0.005259184354695301
2021-12-10,1.2641348889412245,0.0
2021-12-13,1.2487936066440772,-0.012135795342217315
2021-12-14,1.243936113467153,-0.015978338744363718
2021-12-15,1.265436732895528,0.0
2021-12-16,1.2501721794585734,-0.012062676102365777
2021-12-17,1.23128926752237,-0.026984727474303027
2021-12-20,1.2173737378274403,-0.03798134969427647
2021-12-21,1.2379518012035577,-0.021719720138896448
2021-12-22,1.2503854896868503,-0.01189410961244819
2021-12-23,1.2560703393674142,-0.007401708267691931
2021-12-27,1.2730904790820552,0.0
2021-12-28,1.2716765114306603,-0.0011106576277394309
2021-12-29,1.270789812883935,-0.0018071505803570753
2021-12-30,1.265349399532998,-0.006080541545357199
2021-12-31,1.2626443424735798,-0.008205337154046921
2022-01-03,1.2770948793924017,0.0
2022-01-04,1.2811626352923944,0.0
2022-01-05,1.2615046055395094,-0.015343898745843854
2022-01-06,1.2589758481654725,-0.017317697625374717
2022-01-07,1.2601947513551373,-0.016366293677048782
2022-01-10,1.2535993458784718,-0.02151427824589336
