Date,AAPL,AMZN,CAT,JNJ,JPM,MSFT,NEE,NVDA,PG,XOM,^GSPC
2021-05-19,92612000,53594000,3143100,5533800,13278900,25739800,8486600,344000000,9806800,28889800,4247450000
2021-05-20,76857100,52664000,3339200,4853200,10426000,21800700,10798500,321592000,8768200,20692500,3978880000
2021-05-21,79295400,82098000,2479100,6501800,10249000,21863100,8689300,672992000,10161000,20792700,3995250000
2021-05-24,63092900,48456000,2372700,5195100,9440300,21411500,6746900,554816000,6981300,18400300,3684800000
2021-05-25,72009500,65222000,2265700,7444700,12609100,17704300,7440600,435408000,8142400,25616100,4182250000
2021-05-26,56575900,47680000,2070000,5726400,13058300,17771600,7408800,370440000,8122900,21698700,4420890000
2021-05-27,94625600,51224000,3594700,8114700,15707500,24426200,10956100,581476000,33095700,33556000,6406310000
2021-05-28,71311100,46596000,2290700,6400800,10291300,18270200,9177500,644536000,10477100,19246800,4649250000
2021-06-01,67637100,48600000,2476000,10448400,9445400,23213300,9056100,472804000,9993900,28474200,5074670000
2021-06-02,59278900,40290000,2348500,6806000,10498600,19406700,6421000,594168000,8254100,22978300,5833670000
2021-06-03,76229200,47966000,1923200,5808800,13354400,25307700,8871500,580008000,11249800,20272800,5587970000
2021-06-04,75169300,44994000,1837900,6510300,8510800,25281100,6586300,617120000,6894400,20427800,4139790000
2021-06-07,71057600,44316000,2330700,5362800,7267200,23079200,5988500,575756000,8418000,15477900,4476920000
2021-06-08,74403800,68334000,2212300,7746800,10370700,22455000,5803000,323848000,6911500,28953400,4659620000
2021-06-09,56877900,49110000,2919600,5552600,12377400,17937600,6660400,381656000,6200700,29133000,4713260000
2021-06-10,71186400,69530000,6281800,6463100,12119400,24563600,8203300,287772000,6515500,27488700,4408210000
2021-06-11,53522400,56348000,8734900,7389900,13683800,18999700,4548400,416308000,10641400,17631700,3815010000
2021-06-14,96906500,51394000,7213300,4931300,19917900,19150500,4991900,321376000,6302000,16997200,4151200000
2021-06-15,62746300,48524000,5055900,5062900,24485500,18038900,7770300,243032000,5543400,30717100,4048940000
2021-06-16,91815000,84056000,4156900,6988500,25321200,27220000,9646200,307124000,8936400,24803200,4538350000
2021-06-17,96721700,102730000,7995300,5874700,29722400,27565500,10553800,809656000,7875600,28491800,5312680000
2021-06-18,108953300,104954000,7156400,12993000,43595700,37202200,17539000,968856000,13997600,39590700,6817010000
2021-06-21,79663300,65542000,5633900,6592300,18664800,26696100,6499700,672384000,8014800,33145400,4128950000
2021-06-22,74783600,66902000,3776400,5627800,14251200,24694100,5513100,580144000,6550900,25140400,3828390000
2021-06-23,60214200,56266000,3283400,4493400,12733300,19518700,6079700,332356000,5796000,20701600,3730350000
2021-06-24,68711000,76640000,6827600,4549200,13733200,21446900,7925200,320924000,6056700,19568400,3816660000
2021-06-25,70783700,78820000,11274200,10963800,15484900,25611100,6676800,278364000,24504900,18438300,7341450000
2021-06-28,62111300,44856000,3172000,5604000,14125800,19590000,8444300,495436000,6065400,20570000,4147890000
2021-06-29,64556100,41968000,3443400,3749500,14528700,19937800,6477400,367632000,5792300,19579300,3707150000
2021-06-30,63261400,48080000,3249500,6151700,12531000,21656500,8672600,326568000,5776600,17875500,4266040000
2021-07-01,52485800,40742000,2426300,6320200,10479400,16725300,6423000,480136000,5922300,22530300,3788230000
2021-07-02,78852600,63388000,2433600,9059900,11424000,26458000,4282300,342764000,5572000,14555300,3225840000
2021-07-06,108181800,134896000,4348100,6098500,15083400,31565600,6957200,446708000,6534400,22110800,4309570000
2021-07-07,104911600,106562000,2707700,6293500,12271800,23260000,5661800,418428000,5532700,21671400,4037380000
2021-07-08,105575500,103612000,3723800,5755500,17834600,24618600,5881400,503300000,7585200,18935900,4347500000
2021-07-09,99890800,74964000,3163800,6120900,13694500,23916700,5592800,296624000,5948700,20086000,3531120000
2021-07-12,76299700,51432000,2509000,7840500,19940400,18931700,5743500,321984000,6807300,21809400,3384460000
2021-07-13,100827100,76918000,2373300,4691200,22671700,26120100,5165500,290708000,5603800,17147300,3695430000
2021-07-14,127050800,65932000,3185200,6162900,14622800,23113700,6956100,380100000,5903600,21573600,4006370000
2021-07-15,106820300,63706000,2737500,6656900,11539300,22604200,7638200,550564000,7357100,15851100,3905230000
2021-07-16,93251400,80874000,4368800,5834900,14002700,26186800,9088000,688224000,9346300,27049500,3985700000
2021-07-19,121434600,75692000,5391100,8219700,22172900,32935600,9891800,749060000,9544100,37969100,5157660000
2021-07-20,96350000,65114000,3934300,9902800,15385200,26259700,6562000,434687000,8136300,26756100,4438270000
2021-07-21,74993500,46380000,3407300,7585200,12356700,24364300,8931900,371017000,6954700,20908700,3810280000
2021-07-22,77338200,65308000,1931500,5281900,9913300,23384100,5534800,323826000,6013800,13493800,3358300000
2021-07-23,71447400,48726000,2302600,5014900,9666100,22768100,4953500,195672000,7906000,14088200,4540070000
2021-07-26,72434100,58002000,2157600,4484900,8208000,23176100,6014000,203943000,5925800,18387600,4275630000
